GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.init,DemoTariffsFactory,0,163,0,0,0,29,0,5,0,5
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.init,DataLoader,0,51,4,4,0,10,4,2,0,2
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,BasePremiumCalculationRuleList,0,58,0,0,0,16,0,7,0,7
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,DiscountMarkupRule,14,19,2,2,5,3,6,2,4,2
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,DiscountMarkupRuleList,5,35,0,0,0,11,1,4,1,4
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,Calculation,4,120,1,3,0,31,2,11,1,10
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,Cover,7,47,5,5,3,9,5,5,0,5
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,PercentMarkupRule,25,15,2,0,6,6,2,2,1,2
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,Tariff,9,75,0,2,3,21,3,10,3,9
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,BasePremiumCalculationRule,6,44,1,3,2,11,3,6,2,5
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.intrastructure.adapters.web,PricingController,0,15,0,0,0,3,0,3,0,3
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.commands,CalculatePriceHandler,0,62,0,0,0,15,0,5,0,5
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice.dto,NumericQuestionAnswer,0,5,0,0,0,2,0,1,0,1
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice.dto,ChoiceQuestionAnswer,0,5,0,0,0,2,0,1,0,1
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice.dto,TextQuestionAnswer,0,5,0,0,0,2,0,1,0,1
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice.dto,QuestionAnswer,7,54,5,5,3,10,5,7,0,7
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice,CalculatePriceResult,0,30,0,0,0,6,0,7,0,7
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice,CalculatePriceCommand,0,60,0,0,0,9,0,13,0,13
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice,CalculatePriceCommand.CalculatePriceCommandBuilder,0,74,0,0,0,1,0,8,0,8
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing,PricingApplication,9,0,0,0,3,0,2,0,2,0
