GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.init,DemoTariffsFactory,0,163,0,0,0,29,0,5,0,5
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.init,DataLoader,51,0,8,0,10,0,6,0,2,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,BasePremiumCalculationRuleList,39,19,0,0,10,6,5,2,5,2
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,DiscountMarkupRule,30,3,4,0,7,1,7,1,5,1
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,DiscountMarkupRuleList,19,21,0,0,5,6,3,2,3,2
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,Calculation,25,99,2,2,7,24,4,9,3,8
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,Cover,7,47,5,5,3,9,5,5,0,5
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,PercentMarkupRule,28,12,2,0,7,5,3,1,2,1
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,Tariff,52,32,2,0,16,8,9,4,8,4
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,BasePremiumCalculationRule,38,12,4,0,8,5,8,1,6,1
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.intrastructure.adapters.web,PricingController,15,0,0,0,3,0,3,0,3,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.commands,CalculatePriceHandler,62,0,0,0,15,0,5,0,5,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice.dto,NumericQuestionAnswer,0,5,0,0,0,2,0,1,0,1
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice.dto,ChoiceQuestionAnswer,0,5,0,0,0,2,0,1,0,1
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice.dto,TextQuestionAnswer,0,5,0,0,0,2,0,1,0,1
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice.dto,QuestionAnswer,7,54,5,5,3,10,5,7,0,7
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice,CalculatePriceResult,0,30,0,0,0,6,0,7,0,7
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice,CalculatePriceCommand,0,60,0,0,0,9,0,13,0,13
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice,CalculatePriceCommand.CalculatePriceCommandBuilder,0,74,0,0,0,1,0,8,0,8
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing,PricingApplication,9,0,0,0,3,0,2,0,2,0
