GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.init,DemoTariffsFactory,163,0,0,0,29,0,5,0,5,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.init,DataLoader,51,0,8,0,10,0,6,0,2,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,BasePremiumCalculationRuleList,58,0,0,0,16,0,7,0,7,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,DiscountMarkupRule,33,0,4,0,8,0,8,0,6,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,DiscountMarkupRuleList,40,0,0,0,11,0,5,0,5,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,Calculation,25,99,2,2,7,24,4,9,3,8
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,Cover,11,43,5,5,4,8,6,4,1,4
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,PercentMarkupRule,40,0,2,0,12,0,4,0,3,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,Tariff,84,0,2,0,24,0,13,0,12,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.domain,BasePremiumCalculationRule,50,0,4,0,13,0,9,0,7,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.intrastructure.adapters.web,PricingController,15,0,0,0,3,0,3,0,3,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.commands,CalculatePriceHandler,62,0,0,0,15,0,5,0,5,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice.dto,NumericQuestionAnswer,5,0,0,0,2,0,1,0,1,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice.dto,ChoiceQuestionAnswer,5,0,0,0,2,0,1,0,1,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice.dto,TextQuestionAnswer,5,0,0,0,2,0,1,0,1,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice.dto,QuestionAnswer,22,39,5,5,6,7,8,4,3,4
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice,CalculatePriceResult,11,19,0,0,2,4,3,4,3,4
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice,CalculatePriceCommand,22,38,0,0,2,7,2,11,2,11
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing.service.api.v1.commands.calculateprice,CalculatePriceCommand.CalculatePriceCommandBuilder,74,0,0,0,1,0,8,0,8,0
pricing-service,pl.altkom.asc.lab.micronaut.poc.pricing,PricingApplication,9,0,0,0,3,0,2,0,2,0
